street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
High Street,940,High Street,VICTOR HARBOR,5211,"High Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.54685,138.623414,3,Inner Regional Australia,mapbox_api
517 Prospect Road,517,Prospect Road,ADELAIDE,5000,"517 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.857524,138.592003,4,Major Cities of Australia,mapbox_api
Palmer Place,688,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
429 Franklin Street,429,Franklin Street,ADELAIDE,5000,"429 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92773,138.588342,4,Major Cities of Australia,mapbox_api
339 Brighton Road,339,Brighton Road,ADELAIDE,5000,"339 Brighton Road, North Brighton South Australia 5048, Australia",CITY OF ADELAIDE,-35.007462,138.522001,4,Major Cities of Australia,mapbox_api
114 Pirie Street,114,Pirie Street,ADELAIDE,5000,"114 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925625,138.602471,4,Major Cities of Australia,mapbox_api
380 Brighton Road,380,Brighton Road,ADELAIDE,5000,"380 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999318,138.521678,4,Major Cities of Australia,mapbox_api
544 Cross Road,544,Cross Road,ADELAIDE,5000,"544 Cross Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.967498,138.563378,4,Major Cities of Australia,mapbox_api
879 Port Road,879,Port Road,ADELAIDE,5000,"879 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.908465,138.576486,4,Major Cities of Australia,mapbox_api
672 High Street,672,High Street,ADELAIDE,5000,"672 High Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.981346,138.520048,4,Major Cities of Australia,mapbox_api
857 Port Road,857,Port Road,ADELAIDE,5000,"857 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.908465,138.576485,4,Major Cities of Australia,mapbox_api
922 Cross Road,922,Cross Road,ADELAIDE,5000,"922 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965139,138.61371,4,Major Cities of Australia,mapbox_api
219 Halifax Street,219,Halifax Street,ADELAIDE,5000,"219 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932644,138.610012,4,Major Cities of Australia,mapbox_api
840 Churchill Road,840,Churchill Road,ADELAIDE,5000,"840 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861238,138.58314,4,Major Cities of Australia,mapbox_api
982 Rundle Street,982,Rundle Street,ADELAIDE,5000,"982 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922473,138.609708,4,Major Cities of Australia,mapbox_api
Prospect Road,620,Adelaide Street,ADELAIDE,5000,"Prospect Road, Fitzroy South Australia 5082, Australia",CITY OF ADELAIDE,-34.898208,138.594698,4,Major Cities of Australia,mapbox_api
Whitmore Square,259,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
723 Port Road,723,Port Road,ADELAIDE,5000,"723 Port Road, Woodville Park South Australia 5011, Australia",CITY OF ADELAIDE,-34.884015,138.541104,4,Major Cities of Australia,mapbox_api
241 Lower North East Road,241,Lower North East Road,ADELAIDE,5000,"241 Lower North East Road, Dernancourt South Australia 5075, Australia",CITY OF ADELAIDE,-34.866779,138.67808,4,Major Cities of Australia,mapbox_api
64 High Street,64,High Street,ADELAIDE,5000,"64 High Street, Burnside South Australia 5066, Australia",CITY OF ADELAIDE,-34.936381,138.668002,4,Major Cities of Australia,mapbox_api
495 Portrush Road,495,Portrush Road,ADELAIDE,5000,"495 Portrush Road, Glenside South Australia 5065, Australia",CITY OF ADELAIDE,-34.939882,138.642445,4,Major Cities of Australia,mapbox_api
586 Marion Road,586,Marion Road,ADELAIDE,5000,"586 Marion Road, Plympton Park South Australia 5038, Australia",CITY OF ADELAIDE,-34.981787,138.555746,4,Major Cities of Australia,mapbox_api
384 Pulteney Street,384,Pulteney Street,ADELAIDE,5000,"384 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.929101,138.606062,4,Major Cities of Australia,mapbox_api
Portrush Road,807,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
924 Grand Junction Road,924,Grand Junction Road,ADELAIDE,5000,"924 Grand Junction Road, Gilles Plains South Australia 5086, Australia",CITY OF ADELAIDE,-34.845338,138.668678,4,Major Cities of Australia,mapbox_api
213 Cross Road,213,Cross Road,ADELAIDE,5000,"213 Cross Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.966437,138.589837,4,Major Cities of Australia,mapbox_api
East Terrace,740,East Terrace,MURRAY BRIDGE,5253,"East Terrace, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118247,139.278758,2,Inner Regional Australia,mapbox_api
134 Cross Road,134,Cross Road,ADELAIDE,5000,"134 Cross Road, Highgate South Australia 5063, Australia",CITY OF ADELAIDE,-34.964643,138.619246,4,Major Cities of Australia,mapbox_api
333 Grenfell Street,333,Grenfell Street,ADELAIDE,5000,"333 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608689,4,Major Cities of Australia,mapbox_api
242 Pulteney Street,242,Pulteney Street,ADELAIDE,5000,"242 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.928543,138.606312,4,Major Cities of Australia,mapbox_api
209 Henley Beach Road,209,Henley Beach Road,ADELAIDE,5000,"209 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.924633,138.557946,4,Major Cities of Australia,mapbox_api
846 Currie Street,846,Currie Street,ADELAIDE,5000,"846 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924843,138.58953,4,Major Cities of Australia,mapbox_api
586 Churchill Road,586,Churchill Road,ADELAIDE,5000,"586 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861235,138.58314,4,Major Cities of Australia,mapbox_api
165 Pulteney Street,165,Pulteney Street,ADELAIDE,5000,"165 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922036,138.605531,4,Major Cities of Australia,mapbox_api
18 Cross Road,18,Cross Road,ADELAIDE,5000,"18 Cross Road, Netherby South Australia 5063, Australia",CITY OF ADELAIDE,-34.964918,138.619536,4,Major Cities of Australia,mapbox_api
261 Goodwood Road,261,Goodwood Road,ADELAIDE,5000,"261 Goodwood Road, Kings Park South Australia 5034, Australia",CITY OF ADELAIDE,-34.959592,138.590557,4,Major Cities of Australia,mapbox_api
King Street,858,King Street,CLARE,5453,"King Street, Clare South Australia 5453, Australia",CLARE AND GILBERT VALLEYS COUNCIL,-33.832307,138.607815,3,Inner Regional Australia,mapbox_api
439 Hindley Street,439,Hindley Street,ADELAIDE,5000,"439 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92348,138.589643,4,Major Cities of Australia,mapbox_api
6 Waymouth Street,6,Waymouth Street,ADELAIDE,5000,"6 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925667,138.599273,4,Major Cities of Australia,mapbox_api
685 Light Square,685,Light Square,ADELAIDE,5000,"685 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92601,138.593307,4,Major Cities of Australia,mapbox_api
675 Churchill Road,675,Churchill Road,ADELAIDE,5000,"675 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891245,138.585311,4,Major Cities of Australia,mapbox_api
67 King Street,67,King Street,CLARE,5453,"67 King Street, Clare South Australia 5453, Australia",CLARE AND GILBERT VALLEYS COUNCIL,-33.828568,138.605868,3,Inner Regional Australia,mapbox_api
667 Prospect Road,667,Prospect Road,ADELAIDE,5000,"667 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.857525,138.592003,4,Major Cities of Australia,mapbox_api
924 Flinders Street,924,Flinders Street,ADELAIDE,5000,"924 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.92182,138.623131,4,Major Cities of Australia,mapbox_api
215 Main North Road,215,Main North Road,ADELAIDE,5000,"215 Main North Road, Elizabeth Grove South Australia 5112, Australia",CITY OF ADELAIDE,-34.734058,138.675146,4,Major Cities of Australia,mapbox_api
646 Uley Road,646,Unley Road,ADELAIDE,5000,"646 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698413,138.713242,4,Major Cities of Australia,mapbox_api
221 Wellington Square,221,Wellington Square,ADELAIDE,5000,"221 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.90715,138.590659,4,Major Cities of Australia,mapbox_api
596 Waymouth Street,596,Waymouth Street,ADELAIDE,5000,"596 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
533 Pulteney Street,533,Pulteney Street,ADELAIDE,5000,"533 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934637,138.606464,4,Major Cities of Australia,mapbox_api
246 Gawler Place,246,Gawler Place,ADELAIDE,5000,"246 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925175,138.602027,4,Major Cities of Australia,mapbox_api
101 Wellington Square,101,Wellington Square,ADELAIDE,5000,"101 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907165,138.590665,4,Major Cities of Australia,mapbox_api
81 Glen Osmond Road,81,Glen Osmond Road,ADELAIDE,5000,"81 Glen Osmond Road, Eastwood South Australia 5063, Australia",CITY OF ADELAIDE,-34.943796,138.621592,4,Major Cities of Australia,mapbox_api
252 Grenfell Street,252,Grenfell Street,ADELAIDE,5000,"252 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.60941,4,Major Cities of Australia,mapbox_api
451 Port Road,451,Port Road,ADELAIDE,5000,"451 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.908455,138.576469,4,Major Cities of Australia,mapbox_api
35 Portrush Road,35,Portrush Road,ADELAIDE,5000,"35 Portrush Road, Payneham South Australia 5070, Australia",CITY OF ADELAIDE,-34.899466,138.63903,4,Major Cities of Australia,mapbox_api
Hurtle Square,610,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
Whitmore Square,389,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
824 Carrington Street,824,Carrington Street,ADELAIDE,5000,"824 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931301,138.604379,4,Major Cities of Australia,mapbox_api
728 Flinders Street,728,Flinders Street,ADELAIDE,5000,"728 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921871,138.622998,4,Major Cities of Australia,mapbox_api
Whitmore Square,254,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
702 Marion Road,702,Marion Road,ADELAIDE,5000,"702 Marion Road, Marion South Australia 5043, Australia",CITY OF ADELAIDE,-34.999994,138.557116,4,Major Cities of Australia,mapbox_api
617 Halifax Street,617,Halifax Street,ADELAIDE,5000,"617 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932131,138.615724,4,Major Cities of Australia,mapbox_api
271 Halifax Street,271,Halifax Street,ADELAIDE,5000,"271 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932493,138.608246,4,Major Cities of Australia,mapbox_api
960 Waymouth Street,960,Waymouth Street,ADELAIDE,5000,"960 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
797 Light Square,797,Light Square,ADELAIDE,5000,"797 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926036,138.593409,4,Major Cities of Australia,mapbox_api
120 Currie Street,120,Currie Street,ADELAIDE,5000,"120 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924243,138.595048,4,Major Cities of Australia,mapbox_api
365 Portrush Road,365,Portrush Road,ADELAIDE,5000,"365 Portrush Road, Toorak Gardens South Australia 5065, Australia",CITY OF ADELAIDE,-34.933767,138.641588,4,Major Cities of Australia,mapbox_api
394 Torrens Road,394,Torrens Road,ADELAIDE,5000,"394 Torrens Road, Kilkenny South Australia 5009, Australia",CITY OF ADELAIDE,-34.87855,138.554573,4,Major Cities of Australia,mapbox_api
76 Portrush Road,76,Portrush Road,ADELAIDE,5000,"76 Portrush Road, Payneham South South Australia 5070, Australia",CITY OF ADELAIDE,-34.902467,138.639655,4,Major Cities of Australia,mapbox_api
Elizabeth Street,303,Elizabeth Street,ADELAIDE,5000,"Elizabeth Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.981097,138.512282,4,Major Cities of Australia,mapbox_api
337 Grand Junction Road,337,Grand Junction Road,ADELAIDE,5000,"337 Grand Junction Road, Gepps Cross South Australia 5094, Australia",CITY OF ADELAIDE,-34.847384,138.613082,4,Major Cities of Australia,mapbox_api
770 Port Road,770,Port Road,ADELAIDE,5000,"770 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905356,138.571739,4,Major Cities of Australia,mapbox_api
936 Goodwood Road,936,Goodwood Road,ADELAIDE,5000,"936 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970182,138.591057,4,Major Cities of Australia,mapbox_api
879 Magill Road,879,Magill Road,ADELAIDE,5000,"879 Magill Road, Adelaide South Australia 5069, Australia",CITY OF ADELAIDE,-34.9151,138.63428,4,Major Cities of Australia,mapbox_api
Palmer Place,450,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
Peace Avenue,796,Palmer Place,VICTOR HARBOR,5211,"Peace Avenue, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.547579,138.623755,3,Inner Regional Australia,mapbox_api
145 Waymouth Street,145,Waymouth Street,ADELAIDE,5000,"145 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926065,138.59432,4,Major Cities of Australia,mapbox_api
Hurtle Square,850,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605518,4,Major Cities of Australia,mapbox_api
388 Elizabeth Street,388,Elizabeth Street,MURRAY BRIDGE,5253,"388 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118197,139.263277,2,Inner Regional Australia,mapbox_api
192 Portrush Road,192,Portrush Road,ADELAIDE,5000,"192 Portrush Road, Trinity Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.912417,138.640375,4,Major Cities of Australia,mapbox_api
339 Waymouth Street,339,Waymouth Street,ADELAIDE,5000,"339 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
774 Cross Road,774,Cross Road,ADELAIDE,5000,"774 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965139,138.613715,4,Major Cities of Australia,mapbox_api
750 Brighton Road,750,Brighton Road,ADELAIDE,5000,"750 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999309,138.521677,4,Major Cities of Australia,mapbox_api
610 Wellington Square,610,Wellington Square,ADELAIDE,5000,"610 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906297,138.591243,4,Major Cities of Australia,mapbox_api
234 Grand Junction Road,234,Grand Junction Road,ADELAIDE,5000,"234 Grand Junction Road, Regency Park South Australia 5010, Australia",CITY OF ADELAIDE,-34.849845,138.574853,4,Major Cities of Australia,mapbox_api
105 Magill Road,105,Magill Road,ADELAIDE,5000,"105 Magill Road, Beulah Park South Australia 5068, Australia",CITY OF ADELAIDE,-34.91475,138.64124,4,Major Cities of Australia,mapbox_api
58 Henley Beach Road,58,Henley Beach Road,ADELAIDE,5000,"58 Henley Beach Road, Henley Beach South Australia 5022, Australia",CITY OF ADELAIDE,-34.925009,138.502774,4,Major Cities of Australia,mapbox_api
254 Cross Road,254,Cross Road,ADELAIDE,5000,"254 Cross Road, Kings Park South Australia 5034, Australia",CITY OF ADELAIDE,-34.965926,138.59312,4,Major Cities of Australia,mapbox_api
816 Henley Beach Road,816,Henley Beach Road,ADELAIDE,5000,"816 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.569596,4,Major Cities of Australia,mapbox_api
170 Henley Beach Road,170,Henley Beach Road,ADELAIDE,5000,"170 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923804,138.562064,4,Major Cities of Australia,mapbox_api
373 Currie Street,373,Currie Street,ADELAIDE,5000,"373 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924644,138.595516,4,Major Cities of Australia,mapbox_api
382 Pirie Street,382,Pirie Street,ADELAIDE,5000,"382 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.61175,4,Major Cities of Australia,mapbox_api
340 High Street,340,High Street,ADELAIDE,5000,"340 High Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.981354,138.519878,4,Major Cities of Australia,mapbox_api
877 Wellington Square,877,Wellington Square,ADELAIDE,5000,"877 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907065,138.590626,4,Major Cities of Australia,mapbox_api
597 Uley Road,597,Unley Road,ADELAIDE,5000,"597 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698596,138.713673,4,Major Cities of Australia,mapbox_api
122 Main Street,122,Main Street,PORT AUGUSTA,5700,"122 Main Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.496924,137.780891,2,Outer Regional Australia,mapbox_api
502 Flinders Street,502,Flinders Street,ADELAIDE,5000,"502 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921948,138.622855,4,Major Cities of Australia,mapbox_api
733 Magill Road,733,Magill Road,ADELAIDE,5000,"733 Magill Road, Adelaide South Australia 5069, Australia",CITY OF ADELAIDE,-34.915099,138.634297,4,Major Cities of Australia,mapbox_api
936 Pulteney Street,936,Pulteney Street,ADELAIDE,5000,"936 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935372,138.606516,4,Major Cities of Australia,mapbox_api
896 Flinders Street,896,Flinders Street,PORT AUGUSTA,5700,"896 Flinders Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.488446,137.774803,2,Outer Regional Australia,mapbox_api
355 Henley Beach Road,355,Henley Beach Road,ADELAIDE,5000,"355 Henley Beach Road, Brooklyn Park South Australia 5032, Australia",CITY OF ADELAIDE,-34.925848,138.542167,4,Major Cities of Australia,mapbox_api
99 Flinders Street,99,Flinders Street,ADELAIDE,5000,"99 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92711,138.601547,4,Major Cities of Australia,mapbox_api
110 Carrington Street,110,Carrington Street,ADELAIDE,5000,"110 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931414,138.602134,4,Major Cities of Australia,mapbox_api
657 Gawler Place,657,Gawler Place,ADELAIDE,5000,"657 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
446 Hindley Street,446,Hindley Street,ADELAIDE,5000,"446 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
260 Flinders Street,260,Flinders Street,ADELAIDE,5000,"260 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926373,138.610033,4,Major Cities of Australia,mapbox_api
688 Port Road,688,Port Road,ADELAIDE,5000,"688 Port Road, Beverley South Australia 5009, Australia",CITY OF ADELAIDE,-34.889203,138.546955,4,Major Cities of Australia,mapbox_api
151 Portrush Road,151,Portrush Road,ADELAIDE,5000,"151 Portrush Road, Maylands South Australia 5069, Australia",CITY OF ADELAIDE,-34.907974,138.63963,4,Major Cities of Australia,mapbox_api
372 Magill Road,372,Magill Road,ADELAIDE,5000,"372 Magill Road, Kensington Park South Australia 5068, Australia",CITY OF ADELAIDE,-34.914242,138.655715,4,Major Cities of Australia,mapbox_api
676 Marion Road,676,Marion Road,ADELAIDE,5000,"676 Marion Road, Plympton Park South Australia 5038, Australia",CITY OF ADELAIDE,-34.979904,138.555908,4,Major Cities of Australia,mapbox_api
197 Rundle Street,197,Rundle Street,ADELAIDE,5000,"197 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922625,138.606799,4,Major Cities of Australia,mapbox_api
201 Marion Road,201,Marion Road,ADELAIDE,5000,"201 Marion Road, Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.961951,138.554579,4,Major Cities of Australia,mapbox_api
744 Waymouth Street,744,Waymouth Street,ADELAIDE,5000,"744 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
727 Wellington Square,727,Wellington Square,ADELAIDE,5000,"727 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907085,138.590633,4,Major Cities of Australia,mapbox_api
831 King Street,831,King Street,ADELAIDE,5000,"831 King Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.971744,138.512435,4,Major Cities of Australia,mapbox_api
896 Waymouth Street,896,Waymouth Street,ADELAIDE,5000,"896 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
188 Pirie Street,188,Pirie Street,ADELAIDE,5000,"188 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925625,138.602476,4,Major Cities of Australia,mapbox_api
Hurtle Square,277,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
326 Marion Road,326,Marion Road,ADELAIDE,5000,"326 Marion Road, Netley South Australia 5037, Australia",CITY OF ADELAIDE,-34.953602,138.553676,4,Major Cities of Australia,mapbox_api
237 Main North Road,237,Main North Road,ADELAIDE,5000,"237 Main North Road, Smithfield South Australia 5114, Australia",CITY OF ADELAIDE,-34.680337,138.695306,4,Major Cities of Australia,mapbox_api
295 Magill Road,295,Magill Road,ADELAIDE,5000,"295 Magill Road, Trinity Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.914339,138.644297,4,Major Cities of Australia,mapbox_api
94 Pulteney Street,94,Pulteney Street,ADELAIDE,5000,"94 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921776,138.605511,4,Major Cities of Australia,mapbox_api
839 Torrens Road,839,Torrens Road,ADELAIDE,5000,"839 Torrens Road, Renown Park South Australia 5008, Australia",CITY OF ADELAIDE,-34.895437,138.581871,4,Major Cities of Australia,mapbox_api
497 Portrush Road,497,Portrush Road,ADELAIDE,5000,"497 Portrush Road, Glenside South Australia 5065, Australia",CITY OF ADELAIDE,-34.939896,138.642447,4,Major Cities of Australia,mapbox_api
364 King Street,364,King Street,CLARE,5453,"364 King Street, Clare South Australia 5453, Australia",CLARE AND GILBERT VALLEYS COUNCIL,-33.828568,138.605868,3,Inner Regional Australia,mapbox_api
542 Hindley Street,542,Hindley Street,ADELAIDE,5000,"542 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
745 Goodwood Road,745,Goodwood Road,ADELAIDE,5000,"745 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970185,138.591058,4,Major Cities of Australia,mapbox_api
864 Churchill Road,864,Churchill Road,ADELAIDE,5000,"864 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891238,138.58531,4,Major Cities of Australia,mapbox_api
111 Churchill Road,111,Churchill Road,ADELAIDE,5000,"111 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.888015,138.585319,4,Major Cities of Australia,mapbox_api
821 Churchill Road,821,Churchill Road,ADELAIDE,5000,"821 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891239,138.58531,4,Major Cities of Australia,mapbox_api
391 Henley Beach Road,391,Henley Beach Road,ADELAIDE,5000,"391 Henley Beach Road, Brooklyn Park South Australia 5032, Australia",CITY OF ADELAIDE,-34.92747,138.53841,4,Major Cities of Australia,mapbox_api
198 Grand Junction Road,198,Grand Junction Road,ADELAIDE,5000,"198 Grand Junction Road, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.851485,138.532588,4,Major Cities of Australia,mapbox_api
833 Uley Road,833,Unley Road,ADELAIDE,5000,"833 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.69841,138.713234,4,Major Cities of Australia,mapbox_api
87 Grand Junction Road,87,Grand Junction Road,ADELAIDE,5000,"87 Grand Junction Road, Rosewater South Australia 5013, Australia",CITY OF ADELAIDE,-34.851492,138.521329,4,Major Cities of Australia,mapbox_api
519 Brighton Road,519,Brighton Road,ADELAIDE,5000,"519 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001589,138.521718,4,Major Cities of Australia,mapbox_api
605 Gawler Place,605,Gawler Place,ADELAIDE,5000,"605 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
King Street,939,King Street,PORT AUGUSTA,5700,"King Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.489067,137.780398,2,Outer Regional Australia,mapbox_api
Palmer Place,649,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
560 Cross Road,560,Cross Road,ADELAIDE,5000,"560 Cross Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.967544,138.561755,4,Major Cities of Australia,mapbox_api
560 Cross Road,560,Cross Road,ADELAIDE,5000,"560 Cross Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.967544,138.561755,4,Major Cities of Australia,mapbox_api
