Suburb,Postcode,Council,SocioEconomicStatus,Remoteness Level
MURRAY BRIDGE SOUTH,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
NORTHERN HEIGHTS,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
RIVERGLADES,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
RIVERGLEN,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MONARTO SOUTH,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MYPOLONGA,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
PALLAMANA,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
PETWOOD,5254,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
ROCKLEIGH,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
ROCKY GULLY,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
TEPKO,5254,MID MURRAY COUNCIL,0,Not Applicable
WALL FLAT,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
WHITE HILL,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
WOODLANE,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
ZADOWS LANDING,5254,MID MURRAY COUNCIL,0,Not Applicable
BANGHAM,5268,TATIARA DC,0,Outer Regional Australia
ANGAS PLAINS,5255,ALEXANDRINA COUNCIL,0,Not Applicable
BELVIDERE,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
BLETCHLEY,5255,ALEXANDRINA COUNCIL,0,Not Applicable
FINNISS,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
SHERWOOD,5267,TATIARA DC,0,Not Applicable
GEMMELLS,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
HARTLEY,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
HIGHLAND VALLEY,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
LAKE PLAINS,5255,ALEXANDRINA COUNCIL,0,Not Applicable
LANGHORNE CREEK,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
MOUNT OBSERVATION,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
HYNAM,5262,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
MULGUNDAWA,5255,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
SALEM,5255,ALEXANDRINA COUNCIL,0,Not Applicable
SANDERGROVE,5255,ALEXANDRINA COUNCIL,0,Not Applicable
KYBYBOLITE,5262,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
NALPA,5255,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
COONAWARRA,5263,WATTLE RANGE COUNCIL,0,Outer Regional Australia
COORONG,5264,COORONG DISTRICT COUNCIL,0,Not Applicable
WILLALOOKA,5267,TATIARA DC,0,Not Applicable
WIRREGA,5267,TATIARA DC,0,Not Applicable
RED CREEK,5255,ALEXANDRINA COUNCIL,0,Not Applicable
STRATHALBYN,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
TOOPERANG,5255,ALEXANDRINA COUNCIL,0,Not Applicable
WILLYAROO,5255,ALEXANDRINA COUNCIL,0,Inner Regional Australia
WOODCHESTER,5255,ALEXANDRINA COUNCIL,0,Not Applicable
CLAYTON BAY,5256,ALEXANDRINA COUNCIL,0,Inner Regional Australia
MILANG,5256,ALEXANDRINA COUNCIL,0,Inner Regional Australia
NURRAGI,5256,ALEXANDRINA COUNCIL,0,Not Applicable
POINT STURT,5256,ALEXANDRINA COUNCIL,0,Not Applicable
COOMBE,5267,COORONG DISTRICT COUNCIL,0,Not Applicable
TOLDEROL,5256,ALEXANDRINA COUNCIL,0,Not Applicable
ASHVILLE,5259,COORONG DISTRICT COUNCIL,0,Not Applicable
JERVOIS,5259,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
KEPA,5259,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
TAILEM BEND,5260,COORONG DISTRICT COUNCIL,0,Inner Regional Australia
LAKE ALBERT,5259,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
LAKE ALEXANDRINA,5259,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MALINONG,5259,COORONG DISTRICT COUNCIL,0,Not Applicable
NARRUNG,5259,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
NATURI,5259,COORONG DISTRICT COUNCIL,0,Inner Regional Australia
COOKE PLAINS,5261,COORONG DISTRICT COUNCIL,0,Not Applicable
COOMANDOOK,5261,COORONG DISTRICT COUNCIL,0,Not Applicable
POLTALLOCH,5259,COORONG DISTRICT COUNCIL,0,Not Applicable
WELLINGTON,5259,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
CULBURRA,5261,COORONG DISTRICT COUNCIL,0,Not Applicable
KI KI,5261,COORONG DISTRICT COUNCIL,0,Not Applicable
YUMALI,5261,COORONG DISTRICT COUNCIL,0,Not Applicable
KEITH,5267,TATIARA DC,0,Outer Regional Australia
WELLINGTON EAST,5259,COORONG DISTRICT COUNCIL,0,Inner Regional Australia
ELWOMPLE,5260,COORONG DISTRICT COUNCIL,0,Not Applicable
BINNUM,5262,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
FRANCES,5262,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
MENINGIE,5264,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
MENINGIE EAST,5264,COORONG DISTRICT COUNCIL,0,Not Applicable
MENINGIE WEST,5264,COORONG DISTRICT COUNCIL,0,Not Applicable
SALT CREEK,5264,COORONG DISTRICT COUNCIL,0,Not Applicable
WALTOWA,5264,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
LAFFER,5267,TATIARA DC,0,Outer Regional Australia
COONALPYN,5265,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
FIELD,5265,COORONG DISTRICT COUNCIL,0,Not Applicable
BUNBURY,5266,COORONG DISTRICT COUNCIL,0,Not Applicable
COLEBATCH,5266,COORONG DISTRICT COUNCIL,0,Not Applicable
DEEPWATER,5266,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
TINTINARA,5266,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
BRIMBAGO,5267,TATIARA DC,0,Not Applicable
MAKIN,5267,TATIARA DC,0,Not Applicable
POOGINAGORIC,5268,TATIARA DC,0,Not Applicable
SENIOR,5268,TATIARA DC,0,Not Applicable
WESTERN FLAT,5268,TATIARA DC,0,Not Applicable
CUSTON,5269,TATIARA DC,0,Not Applicable
PINE HILL,5269,TATIARA DC,0,Not Applicable
WOLSELEY,5269,TATIARA DC,0,Outer Regional Australia
BUCKINGHAM,5270,TATIARA DC,0,Not Applicable
CAREW,5270,TATIARA DC,0,Not Applicable
KONGAL,5270,TATIARA DC,0,Not Applicable
MUNDULLA,5270,TATIARA DC,0,Outer Regional Australia
MUNDULLA WEST,5270,TATIARA DC,0,Not Applicable
SWEDE FLAT,5270,TATIARA DC,0,Outer Regional Australia
BOOL LAGOON,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
CADGEE,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
JOANNA,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
KEPPOCH,5271,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
KOPPAMURRA,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
LAURIE PARK,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
LOCHABER,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
MARCOLLAT,5271,KINGSTON DC,0,Not Applicable
MOUNT LIGHT,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
NARACOORTE,5271,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
PADTHAWAY,5271,TATIARA DC,0,Outer Regional Australia
SPENCE,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
STEWART RANGE,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
STRUAN,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
THE GAP,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
WILD DOG VALLEY,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
WRATTONBULLY,5271,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
COLES,5272,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
MONBULLA,5277,WATTLE RANGE COUNCIL,0,Not Applicable
CONMURRA,5272,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
FOX,5272,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
GREENWAYS,5272,DC OF ROBE,0,Not Applicable
LUCINDALE,5272,NARACOORTE LUCINDALE COUNCIL,0,Outer Regional Australia
WOOLUMBOOL,5272,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
AVENUE RANGE,5273,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
BLACKFORD,5275,KINGSTON DC,0,Not Applicable
REEDY CREEK,5275,KINGSTON DC,0,Not Applicable
BOATSWAIN POINT,5275,DC OF ROBE,0,Outer Regional Australia
TILLEY SWAMP,5275,KINGSTON DC,0,Not Applicable
NANGWARRY,5277,WATTLE RANGE COUNCIL,0,Outer Regional Australia
PENOLA,5277,WATTLE RANGE COUNCIL,0,Outer Regional Australia
CAPE JAFFA,5275,KINGSTON DC,0,Not Applicable
KEILIRA,5275,KINGSTON DC,0,Remote Australia
GLENROY,5277,WATTLE RANGE COUNCIL,0,Not Applicable
KINGSTON SE,5275,KINGSTON DC,0,Outer Regional Australia
MOUNT BENSON,5275,DC OF ROBE,0,Not Applicable
PINKS BEACH,5275,KINGSTON DC,0,Outer Regional Australia
MAAOUPE,5277,WATTLE RANGE COUNCIL,0,Not Applicable
ROSETOWN,5275,KINGSTON DC,0,Not Applicable
SANDY GROVE,5275,KINGSTON DC,0,Not Applicable
TARATAP,5275,KINGSTON DC,0,Not Applicable
PLEASANT PARK,5277,THE DC OF GRANT,0,Not Applicable
WANGOLINA,5275,KINGSTON DC,0,Outer Regional Australia
WEST RANGE,5275,KINGSTON DC,0,Not Applicable
WYOMI,5275,KINGSTON DC,0,Not Applicable
BRAY,5276,DC OF ROBE,0,Not Applicable
NORA CREINA,5276,DC OF ROBE,0,Not Applicable
ROBE,5276,DC OF ROBE,0,Outer Regional Australia
COMAUM,5277,WATTLE RANGE COUNCIL,0,Not Applicable
TARPEENA,5277,THE DC OF GRANT,0,Outer Regional Australia
KALANGADOO,5278,WATTLE RANGE COUNCIL,0,Outer Regional Australia
KRONGART,5278,WATTLE RANGE COUNCIL,0,Not Applicable
MOERLONG,5278,WATTLE RANGE COUNCIL,0,Outer Regional Australia
WEPAR,5278,THE DC OF GRANT,0,Not Applicable
KOORINE,5279,WATTLE RANGE COUNCIL,0,Not Applicable
MOUNT BURR,5279,WATTLE RANGE COUNCIL,0,Outer Regional Australia
MOUNT MCINTYRE,5279,WATTLE RANGE COUNCIL,0,Not Applicable
SHORT,5279,WATTLE RANGE COUNCIL,0,Not Applicable
CLAY WELLS,5280,WATTLE RANGE COUNCIL,0,Not Applicable
FURNER,5280,WATTLE RANGE COUNCIL,0,Not Applicable
GERMAN FLAT,5280,WATTLE RANGE COUNCIL,0,Not Applicable
HATHERLEIGH,5280,WATTLE RANGE COUNCIL,0,Not Applicable
KANGAROO INN,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
MAGAREY,5280,WATTLE RANGE COUNCIL,0,Not Applicable
MILLICENT,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
RENDELSHAM,5280,WATTLE RANGE COUNCIL,0,Not Applicable
ROCKY CAMP,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
TANTANOOLA,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
THORNLEA,5280,WATTLE RANGE COUNCIL,0,Not Applicable
WATTLE RANGE,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
MOUNT GAMBIER,5290,CITY OF MOUNT GAMBIER,0,Outer Regional Australia
ALLENDALE EAST,5291,THE DC OF GRANT,0,Outer Regional Australia
BLACKFELLOWS CAVES,5291,THE DC OF GRANT,0,Not Applicable
BURRUNGULE,5291,THE DC OF GRANT,0,Outer Regional Australia
CAPE DOUGLAS,5291,THE DC OF GRANT,0,Not Applicable
CAROLINE,5291,THE DC OF GRANT,0,Not Applicable
CARPENTER ROCKS,5291,THE DC OF GRANT,0,Outer Regional Australia
COMPTON,5291,THE DC OF GRANT,0,Outer Regional Australia
DISMAL SWAMP,5291,THE DC OF GRANT,0,Outer Regional Australia
DONOVANS,5291,THE DC OF GRANT,0,Not Applicable
EIGHT MILE CREEK,5291,THE DC OF GRANT,0,Not Applicable
GERMAN CREEK,5291,THE DC OF GRANT,0,Not Applicable
GLENBURNIE,5291,THE DC OF GRANT,0,Outer Regional Australia
GLENCOE,5291,WATTLE RANGE COUNCIL,0,Outer Regional Australia
KONGORONG,5291,THE DC OF GRANT,0,Not Applicable
MIL-LEL,5291,THE DC OF GRANT,0,Outer Regional Australia
MINGBOOL,5291,THE DC OF GRANT,0,Outer Regional Australia
MOORAK,5291,THE DC OF GRANT,0,Outer Regional Australia
MOUNT SCHANK,5291,THE DC OF GRANT,0,Not Applicable
NETHERTON,5301,COORONG DISTRICT COUNCIL,0,Not Applicable
NENE VALLEY,5291,THE DC OF GRANT,0,Outer Regional Australia
OB FLAT,5291,THE DC OF GRANT,0,Outer Regional Australia
PELICAN POINT,5291,THE DC OF GRANT,0,Not Applicable
PORT MACDONNELL,5291,THE DC OF GRANT,0,Outer Regional Australia
PARRAKIE,5301,SOUTHERN MALLEE DC,0,Outer Regional Australia
RACECOURSE BAY,5291,THE DC OF GRANT,0,Not Applicable
SQUARE MILE,5291,THE DC OF GRANT,0,Not Applicable
SUTTONTOWN,5291,THE DC OF GRANT,0,Outer Regional Australia
WANDILO,5291,THE DC OF GRANT,0,Not Applicable
WORROLONG,5291,THE DC OF GRANT,0,Outer Regional Australia
PEAKE,5301,COORONG DISTRICT COUNCIL,0,Not Applicable
SHERLOCK,5301,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
PINNAROO,5304,SOUTHERN MALLEE DC,0,Remote Australia
WYE,5291,THE DC OF GRANT,0,Outer Regional Australia
YAHL,5291,THE DC OF GRANT,0,Outer Regional Australia
CARCUMA,5301,COORONG DISTRICT COUNCIL,0,Not Applicable
GERANIUM,5301,SOUTHERN MALLEE DC,0,Not Applicable
JABUK,5301,COORONG DISTRICT COUNCIL,0,Outer Regional Australia
MOORLANDS,5301,COORONG DISTRICT COUNCIL,0,Not Applicable
LAMEROO,5302,SOUTHERN MALLEE DC,0,Remote Australia
NGARKAT,5302,SOUTHERN MALLEE DC,0,Remote Australia
PARILLA,5303,SOUTHERN MALLEE DC,0,Remote Australia
KARTE,5304,SOUTHERN MALLEE DC,0,Not Applicable
KRINGIN,5304,THE DC OF LOXTON WAIKERIE,0,Not Applicable
PEEBINGA,5304,THE DC OF LOXTON WAIKERIE,0,Not Applicable
WYNARKA,5306,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
KAROONDA,5307,THE DC OF KAROONDA EAST MURRAY,0,Outer Regional Australia
MARAMA,5307,THE DC OF KAROONDA EAST MURRAY,0,Outer Regional Australia
COPEVILLE,5308,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
GALGA,5308,THE DC OF KAROONDA EAST MURRAY,0,Outer Regional Australia
MANTUNG,5308,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
MERCUNDA,5308,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
PERPONDA,5308,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
BORRIKA,5309,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
HALIDON,5309,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
MINDARIE,5309,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
SANDALWOOD,5309,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
CALIPH,5310,THE DC OF LOXTON WAIKERIE,0,Not Applicable
WANBI,5310,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
ALAWOONA,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
BILLIATT,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
BUGLE HUT,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
MAGGEA,5311,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
MALPAS,5311,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
MERIBAH,5311,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
PARUNA,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
SCHELL WELL,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
TALDRA,5311,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
TAPLAN,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
VEITCH,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
WOODLEIGH,5311,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
WUNKAR,5311,THE DC OF LOXTON WAIKERIE,0,Not Applicable
BEATTY,5320,MID MURRAY COUNCIL,0,Not Applicable
BEAUMONTS,5320,MID MURRAY COUNCIL,0,Not Applicable
BRENDA PARK,5320,MID MURRAY COUNCIL,0,Outer Regional Australia
BUNDEY,5320,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
EBA,5320,MID MURRAY COUNCIL,0,Not Applicable
LINDLEY,5320,MID MURRAY COUNCIL,0,Not Applicable
MAUDE,5320,MID MURRAY COUNCIL,0,Not Applicable
MORGAN,5320,MID MURRAY COUNCIL,0,Outer Regional Australia
MORPHETTS FLAT,5320,MID MURRAY COUNCIL,0,Not Applicable
MURBKO,5320,THE DC OF LOXTON WAIKERIE,0,Not Applicable
NORTH WEST BEND,5320,MID MURRAY COUNCIL,0,Not Applicable
STEINFELD,5356,MID MURRAY COUNCIL,0,Not Applicable
STUART,5320,MID MURRAY COUNCIL,0,Not Applicable
WESTONS FLAT,5320,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WOMBATS REST,5320,MID MURRAY COUNCIL,0,Not Applicable
CADELL,5321,MID MURRAY COUNCIL,0,Outer Regional Australia
CADELL LAGOON,5321,MID MURRAY COUNCIL,0,Not Applicable
GOLDEN HEIGHTS,5322,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
LOWBANK,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
AUSTRALIA PLAINS,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
QUALCO,5322,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
RAMCO,5322,THE DC OF LOXTON WAIKERIE,0,Not Applicable
RAMCO HEIGHTS,5322,THE DC OF LOXTON WAIKERIE,0,Not Applicable
SUNLANDS,5322,THE DC OF LOXTON WAIKERIE,0,Not Applicable
BOOLGUN,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
DEVLINS POUND,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
GOOD HOPE LANDING,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
HAWKS NEST STATION,5330,PASTORAL UNINCORPORATED AREA,0,Not Applicable
HOLDER,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
HOLDER SIDING,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
KANNI,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
MARKARANKA,5330,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
OVERLAND CORNER,5330,PASTORAL UNINCORPORATED AREA,0,Not Applicable
POOGINOOK,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
STOCKYARD PLAIN,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
PYAP,5333,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
PYAP WEST,5333,THE DC OF LOXTON WAIKERIE,0,Not Applicable
TAYLORVILLE,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
TAYLORVILLE STATION,5330,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WAIKERIE,5330,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
WIGLEY FLAT,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
WOOLPUNDA,5330,THE DC OF LOXTON WAIKERIE,0,Not Applicable
MUNDIC CREEK,5340,RENMARK PARINGA COUNCIL,0,Not Applicable
BULLOO CREEK,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
KINGSTON ON MURRAY,5331,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
MOOROOK,5332,THE DC OF LOXTON WAIKERIE,0,Not Applicable
MOOROOK SOUTH,5332,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
WAPPILKA,5332,THE DC OF LOXTON WAIKERIE,0,Not Applicable
YINKANIE,5332,THE DC OF LOXTON WAIKERIE,0,Not Applicable
RENMARK,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
BOOKPURNONG,5333,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
LOXTON,5333,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
LOXTON NORTH,5333,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
NEW RESIDENCE,5333,THE DC OF LOXTON WAIKERIE,0,Outer Regional Australia
PATA,5333,THE DC OF LOXTON WAIKERIE,0,Not Applicable
COCKBURN,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MURTHO,5340,RENMARK PARINGA COUNCIL,0,Not Applicable
PARINGA,5340,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
RHYNIE,5412,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
PIKE RIVER,5340,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
WONUARRA,5340,RENMARK PARINGA COUNCIL,0,Not Applicable
YAMBA,5340,RENMARK PARINGA COUNCIL,0,Not Applicable
CALPERUM STATION,5341,PASTORAL UNINCORPORATED AREA,0,Not Applicable
CHAFFEY,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
CHOWILLA,5341,PASTORAL UNINCORPORATED AREA,0,Not Applicable
COOLTONG,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
CRESCENT,5341,RENMARK PARINGA COUNCIL,0,Not Applicable
OLD CALPERUM,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
RENMARK NORTH,5341,UIA RIVERLAND,0,Outer Regional Australia
RENMARK SOUTH,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
RENMARK WEST,5341,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
MONASH,5342,PASTORAL UNINCORPORATED AREA,0,Outer Regional Australia
BERRI,5343,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
GERARD,5343,PASTORAL UNINCORPORATED AREA,0,Not Applicable
GURRA GURRA,5343,RENMARK PARINGA COUNCIL,0,Outer Regional Australia
KATARAPKO,5343,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
ST KITTS,5356,LIGHT REGIONAL COUNCIL,0,Not Applicable
LYRUP,5343,RENMARK PARINGA COUNCIL,0,Not Applicable
WINKIE,5343,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
GLOSSOP,5344,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
BARMERA,5345,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
ALTONA,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
LOVEDAY,5345,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
SPECTACLE LAKE,5345,PASTORAL UNINCORPORATED AREA,0,Not Applicable
COBDOGLA,5346,THE BERRI BARMERA COUNCIL,0,Outer Regional Australia
ROSEDALE,5350,THE BAROSSA COUNCIL,0,Inner Regional Australia
SANDY CREEK,5350,THE BAROSSA COUNCIL,0,Not Applicable
GOMERSAL,5352,LIGHT REGIONAL COUNCIL,0,Not Applicable
BAROSSA GOLDFIELDS,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
COCKATOO VALLEY,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
LYNDOCH,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
KRONDORF,5352,THE BAROSSA COUNCIL,0,Not Applicable
MOUNT CRAWFORD,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
PEWSEY VALE,5351,THE BAROSSA COUNCIL,0,Not Applicable
WILLIAMSTOWN,5351,THE BAROSSA COUNCIL,0,Inner Regional Australia
BETHANY,5352,THE BAROSSA COUNCIL,0,Inner Regional Australia
ROWLAND FLAT,5352,THE BAROSSA COUNCIL,0,Not Applicable
STONE WELL,5352,LIGHT REGIONAL COUNCIL,0,Not Applicable
TANUNDA,5352,THE BAROSSA COUNCIL,0,Inner Regional Australia
VINE VALE,5352,THE BAROSSA COUNCIL,0,Not Applicable
ANGASTON,5353,THE BAROSSA COUNCIL,0,Inner Regional Australia
BLACK HILL,5353,MID MURRAY COUNCIL,0,Not Applicable
CURNAMONA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
CAMBRAI,5353,MID MURRAY COUNCIL,0,Not Applicable
KEYNETON,5353,MID MURRAY COUNCIL,0,Inner Regional Australia
LANGS LANDING,5353,MID MURRAY COUNCIL,0,Not Applicable
MOCULTA,5353,THE BAROSSA COUNCIL,0,Not Applicable
MOUNT MCKENZIE,5353,THE BAROSSA COUNCIL,0,Not Applicable
PENRICE,5353,THE BAROSSA COUNCIL,0,Inner Regional Australia
PUNYELROO,5353,MID MURRAY COUNCIL,0,Outer Regional Australia
SEDAN,5353,MID MURRAY COUNCIL,0,Not Applicable
SUNNYDALE,5353,MID MURRAY COUNCIL,0,Not Applicable
TOWITTA,5353,MID MURRAY COUNCIL,0,Not Applicable
BAKARA,5354,THE DC OF KAROONDA EAST MURRAY,0,Not Applicable
BAKARA WELL,5354,THE DC OF LOXTON WAIKERIE,0,Not Applicable
FISHER,5354,MID MURRAY COUNCIL,0,Not Applicable
MARKS LANDING,5354,MID MURRAY COUNCIL,0,Outer Regional Australia
NAIDIA,5354,THE DC OF LOXTON WAIKERIE,0,Not Applicable
DUTTON,5356,THE REGIONAL COUNCIL OF GOYDER,0,Inner Regional Australia
SWAN REACH,5354,MID MURRAY COUNCIL,0,Outer Regional Australia
DAVEYSTON,5355,LIGHT REGIONAL COUNCIL,0,Not Applicable
EBENEZER,5355,LIGHT REGIONAL COUNCIL,0,Not Applicable
LIGHT PASS,5355,THE BAROSSA COUNCIL,0,Inner Regional Australia
MARANANGA,5355,LIGHT REGIONAL COUNCIL,0,Not Applicable
MOPPA,5355,LIGHT REGIONAL COUNCIL,0,Not Applicable
NURIOOTPA,5355,THE BAROSSA COUNCIL,0,Inner Regional Australia
SEPPELTSFIELD,5355,LIGHT REGIONAL COUNCIL,0,Not Applicable
STOCKWELL,5355,THE BAROSSA COUNCIL,0,Inner Regional Australia
ANNADALE,5356,MID MURRAY COUNCIL,0,Not Applicable
DUTTON EAST,5356,MID MURRAY COUNCIL,0,Not Applicable
SANDLETON,5356,MID MURRAY COUNCIL,0,Not Applicable
TRURO,5356,MID MURRAY COUNCIL,0,Inner Regional Australia
BLANCHETOWN,5357,MID MURRAY COUNCIL,0,Outer Regional Australia
MCBEAN POUND,5357,MID MURRAY COUNCIL,0,Not Applicable
NEW WELL,5357,THE DC OF LOXTON WAIKERIE,0,Not Applicable
NOTTS WELL,5357,THE DC OF LOXTON WAIKERIE,0,Not Applicable
